T,id,x,y,z
511.251,0,0.605,0,0
511.342,0.1001,0.605,0.1001,0
511.433,0.2002,0.605,0.2002,0
511.523,0.3003,0.605,0.3003,0
511.614,0.4004,0.605,0.4004,0
511.704,0.500501,0.605,0.500501,0
511.795,0.600601,0.605,0.600601,0
511.885,0.700701,0.605,0.700701,0
511.976,0.800801,0.605,0.800801,0
512.066,0.900901,0.605,0.900901,0
512.157,1.001,0.605,1.001,0
512.266,1.1011,0.605,1.1011,0
512.375,1.2012,0.605,1.2012,0
512.483,1.3013,0.605,1.3013,0
512.592,1.4014,0.605,1.4014,0
512.701,1.5015,0.605,1.5015,0
512.81,1.6016,0.605,1.6016,0
512.919,1.7017,0.605,1.7017,0
513.027,1.8018,0.605,1.8018,0
513.136,1.9019,0.605,1.9019,0
513.245,2.002,0.605,2.002,0
513.353,2.1021,0.605,2.1021,0
513.461,2.2022,0.605,2.2022,0
513.569,2.3023,0.605,2.3023,0
513.676,2.4024,0.605,2.4024,0
513.784,2.5025,0.605,2.5025,0
513.892,2.6026,0.605,2.6026,0
514,2.7027,0.605,2.7027,0
514.108,2.8028,0.605,2.8028,0
514.216,2.9029,0.605,2.9029,0
514.324,3.003,0.605,3.003,0
514.434,3.1031,0.605,3.1031,0
514.543,3.2032,0.605,3.2032,0
514.653,3.3033,0.605,3.3033,0
514.762,3.4034,0.605,3.4034,0
514.872,3.5035,0.605,3.5035,0
514.982,3.6036,0.605,3.6036,0
515.091,3.7037,0.605,3.7037,0
515.201,3.8038,0.605,3.8038,0
515.31,3.9039,0.605,3.9039,0
515.42,4.004,0.605,4.004,0
515.531,4.1041,0.605,4.1041,0
515.642,4.2042,0.605,4.2042,0
515.753,4.3043,0.605,4.3043,0
515.864,4.4044,0.605,4.4044,0
515.974,4.5045,0.605,4.5045,0
516.085,4.6046,0.605,4.6046,0
516.196,4.7047,0.605,4.7047,0
516.307,4.8048,0.605,4.8048,0
516.418,4.9049,0.605,4.9049,0
516.529,5.00501,0.605,5.00501,0
516.641,5.10511,0.605,5.10511,0
516.753,5.20521,0.605,5.20521,0
516.865,5.30531,0.605,5.30531,0
516.978,5.40541,0.605,5.40541,0
517.09,5.50551,0.605,5.50551,0
517.202,5.60561,0.605,5.60561,0
517.314,5.70571,0.605,5.70571,0
